time,hour,beach.x,observer,abundance,council_report,beach_key,surf_club,slsa_branch,state,beach_lat,beach_lon,length,orientation,embaymentisation,beach.y,crt_salt,source,crt_closest_lat,crt_closest_lon,crt_temp,crt_u,crt_v,wnd_sfcWindspeed,wnd_temp,wnd_uas,wnd_vas,wnd_closest_lat,wnd_closest_lon,wave_closest_lat,wave_closest_lon,wave_hs,wave_t01,wave_cge,wave_fp,wave_sin_dir,wave_cos_dir,wave_dir
2023-07-21,,Maroubra Beach (North),JL,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.63219,BeachWatch,-33.95000076293945,151.25,17.331161,-0.006714072,0.0024414808,7.78125,291.265625,4.0947265625,5.5078125,-33.99,151.29,-33.99992,151.26692,2.2050002,7.79625,21.625,0.09958333,0.39283887,-0.91800505,156.83263
2023-07-23,10:00:00,Maroubra Beach (North),JL,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.64562,BeachWatch,-33.95000076293945,151.25,17.144379,0.0051881466,0.018921476,7.470703125,291.609375,0.7646484375,7.3359375,-33.99,151.29,-33.99992,151.26692,1.866917,6.893749,14.345834,0.09104168,0.6841664,-0.72888285,136.81253
2023-07-24,12:10:00,Maroubra Beach (North),JL,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.637226,BeachWatch,-33.95000076293945,151.25,17.4012,-0.09735405,-0.1126133,4.447265625,291.625,1.5908203125,3.6767578125,-33.99,151.29,-33.99992,151.26692,1.3975,6.2904162,7.1916676,0.11004168,0.69542414,-0.7134733,135.73396
2023-07-25,8:30:00,Maroubra Beach (North),SK,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.638905,BeachWatch,-33.95000076293945,151.25,17.486801,-0.0552385,-0.06256294,3.001953125,291.515625,0.8984375,1.1572265625,-33.99,151.29,-33.99992,151.26692,1.195167,6.9641666,6.2250004,0.10458333,0.49653092,-0.85488206,149.8512
2023-07-26,17:20:00,Maroubra Beach (North),JL,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.637226,BeachWatch,-33.95000076293945,151.25,17.556839,-0.092471085,-0.115970336,3.650390625,291.828125,1.84375,-0.3017578125,-33.99,151.29,-33.99992,151.26692,1.0185834,7.979999,4.9249997,0.09237501,0.27330688,-0.95885277,164.09058
2023-07-27,8:30:00,Maroubra Beach (North),SK,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.652332,BeachWatch,-33.95000076293945,151.25,17.798096,-0.17548142,-0.2334666,5.357421875,291.65625,0.3095703125,-4.9541015625,-33.99,151.29,-33.99992,151.26692,0.9204166,7.629165,3.8833342,0.10520836,0.257304,-0.9629881,165.0404
2023-07-28,8:30:00,Maroubra Beach (North),SK,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.652332,BeachWatch,-33.95000076293945,151.25,17.696915,-0.1495407,-0.18585773,3.255859375,291.625,0.5166015625,-2.0673828125,-33.99,151.29,-33.99992,151.26692,0.8015001,8.245417,3.0083332,0.090708345,0.29123154,-0.951202,162.97687
2023-08-01,17:45:00,Maroubra Beach (North),SK,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.62044,BeachWatch,-33.95000076293945,151.25,18.257248,-0.05157628,-0.055848874,4.19921875,291.609375,-2.4052734375,1.7880859375,-33.99,151.29,-33.99992,151.26692,1.1474167,7.452917,7.6333337,0.086083345,0.100649334,-0.9932007,174.21349
2023-08-02,9:10:00,Maroubra Beach (North),JL,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.576797,BeachWatch,-33.95000076293945,151.25,17.611313,-0.10925627,-0.13550219,3.4921875,291.515625,-0.5244140625,-2.6826171875,-33.99,151.29,-33.99992,151.26692,1.6467499,8.240833,13.725002,0.08691666,0.18681417,-0.98000616,169.20744
2023-08-04,8:49:00,Maroubra Beach (North),JL,0.0,Beware,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.59023,BeachWatch,-33.95000076293945,151.25,17.650223,-0.16296884,-0.20752586,5.318359375,291.515625,-0.2119140625,-4.7802734375,-33.99,151.29,-33.99992,151.26692,0.8439166,5.460833,2.1916666,0.14516668,0.9312653,0.00088017684,89.94585
2023-08-09,8:50:00,Maroubra Beach (North),SK,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.57344,BeachWatch,-33.95000076293945,151.25,17.556839,-0.09857479,-0.13367108,6.0,291.4375,0.046875,-5.640625,-33.99,151.29,-33.99992,151.26692,0.9750001,7.0566673,3.8166666,0.10575,0.8737741,-0.461952,117.86477
2023-08-10,8:30:00,Maroubra Beach (North),SK,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.585194,BeachWatch,-33.95000076293945,151.25,17.494583,-0.049745172,-0.06897183,6.853515625,291.046875,5.9052734375,0.62109375,-33.99,151.29,-33.99992,151.26692,0.90325,6.488749,3.1333334,0.10529167,0.6790214,-0.64644295,133.59201
2023-08-11,8:30:00,Maroubra Beach (North),SK,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.593586,BeachWatch,-33.95000076293945,151.25,17.24556,-0.07324442,-0.09308145,3.169921875,290.890625,0.5,-1.36328125,-33.99,151.29,-33.99992,151.26692,1.03325,6.5570836,4.0833335,0.115,0.33749512,-0.9334164,160.12154
2023-08-14,8:31:00,Maroubra Beach (North),JL,20.0,Beware,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.56169,BeachWatch,-33.95000076293945,151.25,17.144379,-0.015259255,-0.0073244423,5.59375,291.125,0.5419921875,4.7666015625,-33.99,151.29,-33.99992,151.26692,1.2344166,7.462084,7.070832,0.10391667,0.18507802,-0.9826336,169.33336
2023-08-15,13:00:00,Maroubra Beach (North),KP,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.560013,BeachWatch,-33.95000076293945,151.25,17.066559,0.008239998,0.017090365,3.845703125,291.453125,0.19140625,3.3818359375,-33.99,151.29,-33.99992,151.26692,1.31175,7.099584,7.4250007,0.09745834,0.2753008,-0.96012545,164.0006
2023-08-16,8:45:00,Maroubra Beach (North),JL,2.0,Some,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.560013,BeachWatch,-33.95000076293945,151.25,17.11325,-0.093691826,-0.11719108,3.505859375,291.609375,0.1806640625,-2.4443359375,-33.99,151.29,-33.99992,151.26692,1.2193334,7.4008336,6.2000003,0.10616667,0.4154224,-0.9055981,155.35777
2023-08-17,10:30:00,Maroubra Beach (North),KP,1.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.57512,BeachWatch,-33.95000076293945,151.25,17.24556,-0.122989595,-0.15839106,3.66796875,291.40625,0.7841796875,-2.43359375,-33.99,151.29,-33.99992,151.26692,1.0348334,7.021666,4.245834,0.10795834,0.6388319,-0.7611623,139.99376
2023-08-18,9:00:00,Maroubra Beach (North),SK,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.581837,BeachWatch,-33.95000076293945,151.25,17.128815,0.106509596,0.11139256,10.369140625,291.375,10.1787109375,1.6328125,-33.99,151.29,-33.99992,151.26692,1.115,5.5475,5.4375,0.11866668,0.1855049,-0.93111056,168.73251
2023-08-19,16:00:00,Maroubra Beach (North),KP,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.595264,BeachWatch,-33.95000076293945,151.25,16.91092,0.072328866,0.08239998,8.2109375,291.046875,8.0673828125,1.44140625,-33.99,151.29,-33.99992,151.26692,1.3481666,7.1258335,7.983333,0.10920834,0.06510734,-0.9977953,176.26666
2023-08-21,16:50:00,Maroubra Beach (North),SK,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.57344,BeachWatch,-33.95000076293945,151.25,17.07434,-0.014648885,-0.024414808,3.443359375,291.109375,0.01953125,-2.80078125,-33.99,151.29,-33.99992,151.26692,0.80474997,6.9520836,2.708333,0.11279168,0.22514586,-0.9739345,166.9835
2023-08-22,8:45:00,Maroubra Beach (North),SK,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.571762,BeachWatch,-33.95000076293945,151.25,17.128815,-0.07721183,-0.104068115,5.6796875,291.125,0.26171875,-1.5078125,-33.99,151.29,-33.99992,151.26692,0.79950005,6.0104165,2.2499998,0.10383334,0.7143157,-0.57387334,128.778
