date,beach.x,presence,bluebottles,beach_key,surf_club,slsa_branch,state,lat.x,lon.x,length,orientation,embaymentisation,beach
2/03/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
3/03/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
4/03/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
5/03/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
6/03/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
7/03/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
8/03/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
9/03/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
10/03/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
11/03/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
12/03/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
13/03/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
14/03/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
15/03/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
16/03/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
17/03/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
18/03/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
20/03/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
21/03/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
22/03/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
23/03/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
24/03/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
25/03/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
26/03/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
27/03/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
29/03/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
30/03/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
31/03/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
1/04/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
2/04/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
3/04/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
4/04/2016,Maroubra Beach (North),0,Likely,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
5/04/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
6/04/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
7/04/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
8/04/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
9/04/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
10/04/2016,Maroubra Beach (North),0,Likely,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
11/04/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
12/04/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
14/04/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
15/04/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
16/04/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
17/04/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
18/04/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
19/04/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
20/04/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
21/04/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
22/04/2016,Maroubra Beach (North),0,Likely,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
23/04/2016,Maroubra Beach (North),0,Likely,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
24/04/2016,Maroubra Beach (North),0,Likely,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
25/04/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
26/04/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
28/04/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
29/04/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
30/04/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
1/05/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
2/05/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
4/05/2016,Maroubra Beach (North),0,Likely,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
5/05/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
6/05/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
7/05/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
8/05/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
9/05/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
10/05/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
11/05/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
13/05/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
14/05/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
15/05/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
16/05/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
17/05/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
18/05/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
19/05/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
20/05/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
21/05/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
22/05/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
23/05/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
24/05/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
25/05/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
26/05/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
27/05/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
28/05/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
30/05/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
31/05/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
1/06/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
2/06/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
3/06/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
4/06/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
5/06/2016,Maroubra Beach (North),0,None,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North)
